Date : 2025-08-27 20:00:31
Directory : /workspaces/NeuroNews
Total : 1784 files,  230846 codes, 27474 comments, 53410 blanks, all 311730 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| dbt/dbt_packages/dbt_expectations/integration_tests                                                                                                                    |         23 |        974 |         49 |        134 |      1,157 |
| dbt/dbt_packages/dbt_expectations/integration_tests (Files)                                                                                                            |          6 |         64 |          0 |         20 |         84 |
| dbt/dbt_packages/dbt_expectations/integration_tests/ci                                                                                                                 |          1 |         47 |          0 |          7 |         54 |
| dbt/dbt_packages/dbt_expectations/integration_tests/docker                                                                                                             |          2 |         33 |         17 |          8 |         58 |
| dbt/dbt_packages/dbt_expectations/integration_tests/macros                                                                                                             |          1 |          8 |          0 |          7 |         15 |
| dbt/dbt_packages/dbt_expectations/integration_tests/models                                                                                                             |         13 |        822 |         32 |         92 |        946 |
| dbt/dbt_packages/dbt_expectations/integration_tests/models/schema_tests                                                                                                |         13 |        822 |         32 |         92 |        946 |
| dbt/dbt_packages/dbt_expectations/macros                                                                                                                               |         77 |      2,233 |         20 |        452 |      2,705 |
| dbt/dbt_packages/dbt_expectations/macros/math                                                                                                                          |          4 |         54 |          0 |         37 |         91 |
| dbt/dbt_packages/dbt_expectations/macros/regex                                                                                                                         |          1 |         83 |          0 |         13 |         96 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests                                                                                                                  |         70 |      2,055 |         20 |        387 |      2,462 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/_generalized                                                                                                     |          5 |        207 |          2 |         36 |        245 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/aggregate_functions                                                                                              |         17 |        468 |          3 |         76 |        547 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/column_values_basic                                                                                              |         11 |        268 |          2 |         61 |        331 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/distributional                                                                                                   |          3 |        289 |          0 |         53 |        342 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/multi-column                                                                                                     |          6 |        183 |          0 |         43 |        226 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/string_matching                                                                                                  |         11 |        173 |          0 |         41 |        214 |
| dbt/dbt_packages/dbt_expectations/macros/schema_tests/table_shape                                                                                                      |         17 |        467 |         13 |         77 |        557 |
| dbt/dbt_packages/dbt_expectations/macros/utils                                                                                                                         |          2 |         41 |          0 |         15 |         56 |
| dbt/dbt_packages/dbt_expectations/static                                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| dbt/dbt_packages/dbt_utils                                                                                                                                             |        142 |      4,830 |        136 |      1,720 |      6,686 |
| dbt/dbt_packages/dbt_utils (Files)                                                                                                                                     |         10 |      1,551 |         20 |        553 |      2,124 |
| dbt/dbt_packages/dbt_utils/.circleci                                                                                                                                   |          1 |         89 |          4 |         10 |        103 |
| dbt/dbt_packages/dbt_utils/.github                                                                                                                                     |          6 |        133 |         37 |         41 |        211 |
| dbt/dbt_packages/dbt_utils/.github (Files)                                                                                                                             |          1 |         22 |          3 |          5 |         30 |
| dbt/dbt_packages/dbt_utils/.github/ISSUE_TEMPLATE                                                                                                                      |          4 |         92 |         32 |         32 |        156 |
| dbt/dbt_packages/dbt_utils/.github/workflows                                                                                                                           |          1 |         19 |          2 |          4 |         25 |
| dbt/dbt_packages/dbt_utils/docs                                                                                                                                        |          4 |        128 |          0 |         65 |        193 |
| dbt/dbt_packages/dbt_utils/docs/decisions                                                                                                                              |          4 |        128 |          0 |         65 |        193 |
| dbt/dbt_packages/dbt_utils/integration_tests                                                                                                                           |         68 |      1,384 |         41 |        461 |      1,886 |
| dbt/dbt_packages/dbt_utils/integration_tests (Files)                                                                                                                   |          3 |        139 |          2 |         49 |        190 |
| dbt/dbt_packages/dbt_utils/integration_tests/ci                                                                                                                        |          1 |         41 |          2 |          7 |         50 |
| dbt/dbt_packages/dbt_utils/integration_tests/data                                                                                                                      |          1 |         18 |          0 |          4 |         22 |
| dbt/dbt_packages/dbt_utils/integration_tests/data/schema_tests                                                                                                         |          1 |         18 |          0 |          4 |         22 |
| dbt/dbt_packages/dbt_utils/integration_tests/macros                                                                                                                    |          3 |         30 |          6 |         20 |         56 |
| dbt/dbt_packages/dbt_utils/integration_tests/models                                                                                                                    |         53 |        982 |         28 |        344 |      1,354 |
| dbt/dbt_packages/dbt_utils/integration_tests/models/datetime                                                                                                           |          2 |         19 |          4 |         12 |         35 |
| dbt/dbt_packages/dbt_utils/integration_tests/models/generic_tests                                                                                                      |          6 |        213 |          0 |         34 |        247 |
| dbt/dbt_packages/dbt_utils/integration_tests/models/geo                                                                                                                |          3 |         72 |          0 |          6 |         78 |
| dbt/dbt_packages/dbt_utils/integration_tests/models/sql                                                                                                                |         38 |        635 |         24 |        270 |        929 |
| dbt/dbt_packages/dbt_utils/integration_tests/models/web                                                                                                                |          4 |         43 |          0 |         22 |         65 |
| dbt/dbt_packages/dbt_utils/integration_tests/tests                                                                                                                     |          7 |        174 |          3 |         37 |        214 |
| dbt/dbt_packages/dbt_utils/integration_tests/tests (Files)                                                                                                             |          1 |         65 |          1 |         16 |         82 |
| dbt/dbt_packages/dbt_utils/integration_tests/tests/generic                                                                                                             |          1 |         45 |          2 |          8 |         55 |
| dbt/dbt_packages/dbt_utils/integration_tests/tests/jinja_helpers                                                                                                       |          3 |         22 |          0 |          3 |         25 |
| dbt/dbt_packages/dbt_utils/integration_tests/tests/sql                                                                                                                 |          2 |         42 |          0 |         10 |         52 |
| dbt/dbt_packages/dbt_utils/macros                                                                                                                                      |         51 |      1,468 |         32 |        569 |      2,069 |
| dbt/dbt_packages/dbt_utils/macros/generic_tests                                                                                                                        |         16 |        561 |         15 |        225 |        801 |
| dbt/dbt_packages/dbt_utils/macros/jinja_helpers                                                                                                                        |          6 |         49 |          0 |         12 |         61 |
| dbt/dbt_packages/dbt_utils/macros/sql                                                                                                                                  |         26 |        801 |         17 |        312 |      1,130 |
| dbt/dbt_packages/dbt_utils/macros/web                                                                                                                                  |          3 |         57 |          0 |         20 |         77 |
| dbt/dbt_packages/dbt_utils/tests                                                                                                                                       |          2 |         77 |          2 |         21 |        100 |
| dbt/dbt_packages/spark_utils                                                                                                                                           |         25 |        635 |         13 |        184 |        832 |
| dbt/dbt_packages/spark_utils (Files)                                                                                                                                   |          3 |         62 |          0 |         27 |         89 |
| dbt/dbt_packages/spark_utils/.circleci                                                                                                                                 |          1 |         64 |          1 |         13 |         78 |
| dbt/dbt_packages/spark_utils/integration_tests                                                                                                                         |         11 |        234 |          5 |         51 |        290 |
| dbt/dbt_packages/spark_utils/integration_tests (Files)                                                                                                                 |          1 |          3 |          0 |          1 |          4 |
| dbt/dbt_packages/spark_utils/integration_tests/ci                                                                                                                      |          1 |         29 |          2 |          6 |         37 |
| dbt/dbt_packages/spark_utils/integration_tests/dbt_utils                                                                                                               |          3 |         47 |          3 |         13 |         63 |
| dbt/dbt_packages/spark_utils/integration_tests/snowplow                                                                                                                |          6 |        155 |          0 |         31 |        186 |
| dbt/dbt_packages/spark_utils/integration_tests/snowplow (Files)                                                                                                        |          3 |         79 |          0 |         15 |         94 |
| dbt/dbt_packages/spark_utils/integration_tests/snowplow/models                                                                                                         |          3 |         76 |          0 |         16 |         92 |
| dbt/dbt_packages/spark_utils/macros                                                                                                                                    |         10 |        275 |          7 |         93 |        375 |
| dbt/dbt_packages/spark_utils/macros (Files)                                                                                                                            |          1 |         84 |          0 |         21 |        105 |
| dbt/dbt_packages/spark_utils/macros/dbt_utils                                                                                                                          |          7 |        182 |          7 |         67 |        256 |
| dbt/dbt_packages/spark_utils/macros/dbt_utils/cross_db_utils                                                                                                           |          6 |        151 |          7 |         56 |        214 |
| dbt/dbt_packages/spark_utils/macros/dbt_utils/sql                                                                                                                      |          1 |         31 |          0 |         11 |         42 |
| dbt/dbt_packages/spark_utils/macros/etc                                                                                                                                |          1 |          6 |          0 |          4 |         10 |
| dbt/dbt_packages/spark_utils/macros/snowplow                                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| dbt/models                                                                                                                                                             |         17 |        821 |        130 |        175 |      1,126 |
| dbt/models (Files)                                                                                                                                                     |          1 |        105 |          0 |          6 |        111 |
| dbt/models/marts                                                                                                                                                       |          4 |        310 |         68 |         89 |        467 |
| dbt/models/semantic                                                                                                                                                    |          9 |        160 |         14 |         21 |        195 |
| dbt/models/sources                                                                                                                                                     |          1 |         74 |          0 |          3 |         77 |
| dbt/models/staging                                                                                                                                                     |          2 |        172 |         48 |         56 |        276 |
| dbt/neuro_news                                                                                                                                                         |        363 |     14,020 |        438 |      3,937 |     18,395 |
| dbt/neuro_news (Files)                                                                                                                                                 |          4 |         65 |         36 |         27 |        128 |
| dbt/neuro_news/dbt_packages                                                                                                                                            |        330 |     12,205 |        289 |      3,670 |     16,164 |
| dbt/neuro_news/dbt_packages/dbt_date                                                                                                                                   |         69 |      2,258 |         42 |        734 |      3,034 |
| dbt/neuro_news/dbt_packages/dbt_date (Files)                                                                                                                           |          4 |        660 |          0 |        351 |      1,011 |
| dbt/neuro_news/dbt_packages/dbt_date/.circleci                                                                                                                         |          1 |        158 |          0 |         29 |        187 |
| dbt/neuro_news/dbt_packages/dbt_date/.github                                                                                                                           |          2 |         28 |          1 |         16 |         45 |
| dbt/neuro_news/dbt_packages/dbt_date/.github (Files)                                                                                                                   |          1 |          1 |          1 |          2 |          4 |
| dbt/neuro_news/dbt_packages/dbt_date/.github/ISSUE_TEMPLATE                                                                                                            |          1 |         27 |          0 |         14 |         41 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests                                                                                                                 |         20 |        460 |         23 |         86 |        569 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests (Files)                                                                                                         |          6 |         64 |          0 |         20 |         84 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/ci                                                                                                              |          1 |         55 |          0 |          8 |         63 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker                                                                                                          |          3 |         35 |         16 |          9 |         60 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker (Files)                                                                                                  |          2 |         33 |         16 |          8 |         57 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker/trino                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/docker/trino/catalog                                                                                            |          1 |          2 |          0 |          1 |          3 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/macros                                                                                                          |          3 |        166 |          3 |         38 |        207 |
| dbt/neuro_news/dbt_packages/dbt_date/integration_tests/models                                                                                                          |          7 |        140 |          4 |         11 |        155 |
| dbt/neuro_news/dbt_packages/dbt_date/macros                                                                                                                            |         42 |        952 |         18 |        252 |      1,222 |
| dbt/neuro_news/dbt_packages/dbt_date/macros (Files)                                                                                                                    |          2 |        178 |          0 |         47 |        225 |
| dbt/neuro_news/dbt_packages/dbt_date/macros/_utils                                                                                                                     |          3 |        101 |          0 |         46 |        147 |
| dbt/neuro_news/dbt_packages/dbt_date/macros/calendar_date                                                                                                              |         35 |        522 |          8 |        138 |        668 |
| dbt/neuro_news/dbt_packages/dbt_date/macros/fiscal_date                                                                                                                |          2 |        151 |         10 |         21 |        182 |
| dbt/neuro_news/dbt_packages/dbt_expectations                                                                                                                           |        116 |      4,747 |         73 |      1,135 |      5,955 |
| dbt/neuro_news/dbt_packages/dbt_expectations (Files)                                                                                                                   |          5 |      1,147 |          3 |        468 |      1,618 |
| dbt/neuro_news/dbt_packages/dbt_expectations/.circleci                                                                                                                 |          1 |        159 |          0 |         29 |        188 |
| dbt/neuro_news/dbt_packages/dbt_expectations/.github                                                                                                                   |          4 |         52 |          1 |         31 |         84 |
| dbt/neuro_news/dbt_packages/dbt_expectations/.github (Files)                                                                                                           |          2 |         10 |          1 |         11 |         22 |
| dbt/neuro_news/dbt_packages/dbt_expectations/.github/ISSUE_TEMPLATE                                                                                                    |          2 |         42 |          0 |         20 |         62 |
| dbt/neuro_news/dbt_packages/dbt_expectations/docs                                                                                                                      |          4 |        100 |          0 |          6 |        106 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests                                                                                                         |         23 |      1,005 |         49 |        137 |      1,191 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests (Files)                                                                                                 |          6 |         70 |          0 |         21 |         91 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/ci                                                                                                      |          1 |         54 |          0 |          7 |         61 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/docker                                                                                                  |          2 |         33 |         17 |          8 |         58 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/macros                                                                                                  |          1 |          8 |          0 |          7 |         15 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models                                                                                                  |         13 |        840 |         32 |         94 |        966 |
| dbt/neuro_news/dbt_packages/dbt_expectations/integration_tests/models/schema_tests                                                                                     |         13 |        840 |         32 |         94 |        966 |
| dbt/neuro_news/dbt_packages/dbt_expectations/macros                                                                                                                    |         78 |      2,276 |         20 |        463 |      2,759 |
| dbt/neuro_news/dbt_packages/dbt_expectations/macros/math                                                                                                               |          4 |         54 |          0 |         37 |         91 |
| dbt/neuro_news/dbt_packages/dbt_expectations/macros/regex                                                                                                              |          1 |         99 |          0 |         14 |        113 |
